HandID,TourneyID,Lvl,BuyIn,Dt,SequenceNumber,Seat1,Seat2,Seat3,Seat4,Seat5,Seat6,Seat7,Seat8,Seat9,Button,HCS1C1R,HCS1C1S,HCS1C2R,HCS1C2S,HCS2C1R,HCS2C1S,HCS2C2R,HCS2C2S,HCS3C1R,HCS3C1S,HCS3C2R,HCS3C2S,HCS4C1R,HCS4C1S,HCS4C2R,HCS4C2S,HCS5C1R,HCS5C1S,HCS5C2R,HCS5C2S,HCS6C1R,HCS6C1S,HCS6C2R,HCS6C2S,HCS7C1R,HCS7C1S,HCS7C2R,HCS7C2S,HCS8C1R,HCS8C1S,HCS8C2R,HCS8C2S,HCS9C1R,HCS9C1S,HCS9C2R,HCS9C2S,FC1R,FC1S,FC2R,FC2S,FC3R,FC3S,TCR,TCS,RCR,RCS,SB,BB,Ante,S1SS,S1ES,S2SS,S2ES,S3SS,S3ES,S4SS,S4ES,S5SS,S5ES,S6SS,S6ES,S7SS,S7ES,S8SS,S8ES,S9SS,S9ES
193776200868,2465468092, Level VI (50/100), 4250+4250+1500 , 2018/11/26 14:57:03 ET,1,,SlingerSr,Actex12,caral_x,,,,,c006ex,4,,,,,,,,,9,c,9,s,,,,,,,,,,,,,,,,,,,,,7,h,6,c,A,h,2,s,4,s,6,h,8,s,50.00,100.00,10.00,,,646.00,,442.00,,1351.00,,,,,,,,,,2061.00,
193713154875,2464168359, Level IV (30/60), 4250+4250+1500 , 2018/11/24 22:02:13 ET,2,315raymond,Actex12,,,,,,maria3222,,2,A,d,Q,s,9,d,2,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,c,2,d,3,s,9,s,Q,d,30.00,60.00,6.00,2088.00,,439.00,,,,,,,,,,,,1973.00,,,
193564538611,2457182185, Level VI (100/200), 8700+1300 , 2018/11/20 19:34:37 ET,3,Goldor999,Imurhklbry27,titiacac66,fepoker10,badfich1989,e.ekuehn,Actex12,dp cosmo,jeffGau27,5,,,,,K,d,T,d,,,,,,,,,,,,,,,,,9,d,9,s,A,s,Q,h,5,h,K,s,A,h,5,d,9,c,4,c,4,h,100.00,200.00,,6910.00,,1500.00,,1500.00,,11460.00,,8195.00,,3261.00,,1170.00,,1900.00,,1500.00,
193754621180,2465009423, Level II (15/30), 4250+4250+1500 , 2018/11/25 22:52:41 ET,4,AlvesBat,sweetnhot69,Actex12,4MYKIDSLOVE,sombra1445,Rockgenious,robokop358,,yackdu19,3,,,,,,,,,Q,h,6,s,,,,,,,,,,,,,,,,,,,,,,,,,A,d,5,d,7,s,2,s,,,15.00,30.00,3.00,456.00,,446.00,,584.00,,813.00,,496.00,,793.00,,476.00,,,,436.00,
193785764576,2465671699, Level I (10/20), 4250+4250+1500 , 2018/11/26 19:01:25 ET,5,don b 65,dinamo1970,dealer9515,elmacho24,Actex12,chacal3,azjime,MilosTerza21,goober4801,1,,,,,,,,,,,,,,,,,4,d,T,c,,,,,,,,,,,,,,,,,J,d,6,s,6,h,5,d,,,10.00,20.00,2.00,500.00,,500.00,,500.00,,500.00,,500.00,,500.00,,500.00,,500.00,,500.00,
193787361956,2465698824, Level VIII (75/150), 4250+4250+1500 , 2018/11/26 20:02:10 ET,6,,,,,Actex12,,,Halifax 224,,8,,,,,,,,,,,,,,,,,8,s,8,c,,,,,,,,,,,,,,,,,,,,,,,,,,,75.00,150.00,15.00,,,,,,,,,2391.00,,,,,,2109.00,,,
193744252803,2464799064, Level II (15/30), 4250+4250+1500 , 2018/11/25 16:35:14 ET,7,valera190187,,miguelb121,Actex12,,,sweetride88,laulinda,fofan 150,9,5,d,T,c,,,,,,,,,9,h,7,s,,,,,,,,,Q,c,A,c,,,,,,,,,2,h,J,c,K,c,8,h,8,s,15.00,30.00,3.00,1474.00,,,,346.00,,456.00,,,,,,1003.00,,293.00,,928.00,
193744594915,2464799064, Level VI (50/100), 4250+4250+1500 , 2018/11/25 16:42:35 ET,8,,,,Actex12,,,sweetride88,,,7,,,,,,,,,,,,,K,c,A,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,100.00,10.00,,,,,,,585.00,,,,,,3915.00,,,,,
193928646320,2470333595, Level VI (50/100), 4250+4250+1500 , 2018/11/30 20:42:17 ET,9,,,,FerreiraFred,,Actex12,,,,4,,,,,,,,,,,,,,,,,,,,,5,h,4,c,,,,,,,,,,,,,,,,,,,,,,,50.00,100.00,10.00,,,,,,,2932.00,,,,1568.00,,,,,,,
194046851775,2472790031, Level V (40/80), 4250+4250+1500 , 2018/12/03 21:26:11 ET,10,guiller117,prince caval,,,marce0678,,Actex12,,,1,,,,,,,,,,,,,,,,,K,h,6,d,,,,,J,s,T,c,,,,,,,,,6,s,7,c,5,h,A,d,T,d,40.00,80.00,8.00,1063.00,,1315.00,,,,,,1322.00,,,,800.00,,,,,
