RawHandID,HandID,TourneyID,RawData,Seat,Player,StartingStack
PokerStars Hand #193563713416: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:05:02 ET,193563713416,2457182185,Seat 1: pela659 (1500 in chips),1,pela659,1500
PokerStars Hand #193563713416: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:05:02 ET,193563713416,2457182185,Seat 2: PktRockets (1500 in chips),2,PktRockets,1500
PokerStars Hand #193563713416: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:05:02 ET,193563713416,2457182185,Seat 3: Gleison333 (1500 in chips),3,Gleison333,1500
PokerStars Hand #193563713416: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:05:02 ET,193563713416,2457182185,Seat 4: palmabeach63 (1500 in chips),4,palmabeach63,1500
PokerStars Hand #193563713416: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:05:02 ET,193563713416,2457182185,Seat 6: TXROPER1 (1500 in chips),6,TXROPER1,1500
PokerStars Hand #193563713416: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:05:02 ET,193563713416,2457182185,Seat 7: Actex12 (1500 in chips),7,Actex12,1500
PokerStars Hand #193563713416: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:05:02 ET,193563713416,2457182185,Seat 8: marmagoa (1500 in chips),8,marmagoa,1500
PokerStars Hand #193563713416: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:05:02 ET,193563713416,2457182185,Seat 9: gildedlilly (1500 in chips),9,gildedlilly,1500
PokerStars Hand #193563746985: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:11 ET,193563746985,2457182185,Seat 2: PktRockets (1490 in chips),2,PktRockets,1490
PokerStars Hand #193563746985: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:11 ET,193563746985,2457182185,Seat 3: Gleison333 (1480 in chips),3,Gleison333,1480
PokerStars Hand #193563746985: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:11 ET,193563746985,2457182185,Seat 4: palmabeach63 (1270 in chips),4,palmabeach63,1270
PokerStars Hand #193563746985: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:11 ET,193563746985,2457182185,Seat 5: gu_tascheck (1500 in chips),5,gu_tascheck,1500
PokerStars Hand #193563746985: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:11 ET,193563746985,2457182185,Seat 6: TXROPER1 (1760 in chips),6,TXROPER1,1760
PokerStars Hand #193563746985: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:11 ET,193563746985,2457182185,Seat 7: Actex12 (1500 in chips),7,Actex12,1500
PokerStars Hand #193563746985: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:11 ET,193563746985,2457182185,Seat 8: marmagoa (1500 in chips),8,marmagoa,1500
PokerStars Hand #193563746985: Tournament #2457182185, 8700+1300 Hold'em No Limit - Level I (10/20) - 2018/11/20 19:06:11 ET,193563746985,2457182185,Seat 9: gildedlilly (1500 in chips),9,gildedlilly,1500
